0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-28.0,-53.0,-67.0,-55.0,-61.0,-60.0,-60.0,-64.0,-62.0,-75.0,-61.0,-88.0,-58.0,,,,
-27.0,-62.0,-65.0,-55.0,-65.0,-58.0,-56.0,-64.0,-62.0,-67.0,-62.0,-73.0,-58.0,,,,
-28.0,-53.0,-67.0,-57.0,-65.0,-58.0,-56.0,-68.0,-62.0,-75.0,-62.0,-88.0,-62.0,,,,
-27.0,-65.0,-66.0,-58.0,-56.0,-58.0,-60.0,-64.0,-58.0,-70.0,-61.0,-72.0,-58.0,,,,
-28.0,-62.0,-66.0,-54.0,-65.0,-62.0,-56.0,-67.0,-58.0,-75.0,-61.0,-87.0,-59.0,,,,
-28.0,-62.0,-67.0,-54.0,-65.0,-58.0,-56.0,-64.0,-58.0,-71.0,-61.0,-85.0,-58.0,,,,
-28.0,-53.0,-52.0,-54.0,-61.0,-58.0,-60.0,-64.0,-58.0,-65.0,-62.0,-78.0,-62.0,,,,
-28.0,-62.0,-67.0,-56.0,-56.0,-58.0,-65.0,-66.0,-62.0,-69.0,-62.0,-70.0,-58.0,,,,
-27.0,-53.0,-82.0,-54.0,-56.0,-60.0,-60.0,-64.0,-58.0,-65.0,-59.0,-78.0,-58.0,,,,
-27.0,-53.0,-69.0,-58.0,-56.0,-60.0,-65.0,-66.0,-62.0,-77.0,-62.0,-78.0,-58.0,,,,
-27.0,-62.0,-52.0,-57.0,-65.0,-60.0,-60.0,-66.0,-62.0,-68.0,-62.0,-77.0,-59.0,,,,
-28.0,-63.0,-52.0,-54.0,-56.0,-59.0,-60.0,-64.0,-58.0,-66.0,-62.0,-73.0,-58.0,,,,
-28.0,-53.0,-52.0,-54.0,-62.0,-60.0,-60.0,-68.0,-62.0,-71.0,-62.0,-71.0,-58.0,,,,
-27.0,-66.0,-52.0,-58.0,-56.0,-59.0,-60.0,-68.0,-62.0,-68.0,-60.0,-83.0,-57.0,,,,
-28.0,-61.0,-52.0,-58.0,-65.0,-60.0,-60.0,-64.0,-62.0,-66.0,-62.0,-81.0,-62.0,,,,
-28.0,-53.0,-52.0,-58.0,-56.0,-58.0,-56.0,-67.0,-62.0,-68.0,-63.0,-85.0,-62.0,,,,
-27.0,-65.0,-65.0,-56.0,-57.0,-58.0,-60.0,-67.0,-58.0,-71.0,-60.0,-72.0,-58.0,,,,
-28.0,-66.0,-52.0,-58.0,-57.0,-58.0,-60.0,-67.0,-58.0,-68.0,-60.0,-72.0,-59.0,,,,
-27.0,-53.0,-69.0,-54.0,-57.0,-63.0,-60.0,-67.0,-62.0,-71.0,-60.0,-72.0,-58.0,,,,
