0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-31.0,-42.0,-49.0,-48.0,-53.0,-55.0,-57.0,-59.0,-52.0,-54.0,-50.0,-54.0,-56.0,-60.0,-68.0,-71.0,-68.0
-31.0,-57.0,-57.0,-50.0,-59.0,-63.0,-49.0,-55.0,-52.0,-54.0,-50.0,-54.0,-52.0,-62.0,-62.0,-67.0,-79.0
-28.0,-57.0,-52.0,-49.0,-53.0,-56.0,-50.0,-60.0,-58.0,-54.0,-57.0,-54.0,-56.0,-61.0,-73.0,-64.0,-71.0
-28.0,-58.0,-49.0,-49.0,-59.0,-55.0,-57.0,-54.0,-52.0,-56.0,-50.0,-54.0,-52.0,-62.0,-63.0,-69.0,-75.0
-27.0,-42.0,-48.0,-48.0,-59.0,-56.0,-50.0,-58.0,-64.0,-54.0,-53.0,-54.0,-52.0,-65.0,-75.0,-68.0,-73.0
-30.0,-42.0,-57.0,-50.0,-59.0,-52.0,-57.0,-59.0,-64.0,-55.0,-53.0,-54.0,-55.0,-64.0,-66.0,-64.0,-69.0
-31.0,-57.0,-49.0,-50.0,-53.0,-52.0,-57.0,-60.0,-52.0,-54.0,-50.0,-54.0,-56.0,-66.0,-63.0,-67.0,-68.0
-28.0,-57.0,-56.0,-50.0,-53.0,-52.0,-57.0,-59.0,-52.0,-54.0,-53.0,-56.0,-56.0,-70.0,-63.0,-68.0,-85.0
-28.0,-57.0,-57.0,-50.0,-59.0,-51.0,-57.0,-52.0,-64.0,-56.0,-50.0,-54.0,-56.0,-59.0,-70.0,-61.0,-78.0
-27.0,-57.0,-54.0,-48.0,-53.0,-51.0,-49.0,-54.0,-52.0,-56.0,-50.0,-56.0,-52.0,-66.0,-70.0,-68.0,-82.0
-27.0,-42.0,-50.0,-50.0,-53.0,-66.0,-50.0,-55.0,-52.0,-54.0,-53.0,-55.0,-56.0,-62.0,-69.0,-72.0,-83.0
-28.0,-57.0,-50.0,-48.0,-53.0,-52.0,-49.0,-54.0,-64.0,-56.0,-50.0,-54.0,-56.0,-64.0,-65.0,-70.0,-73.0
-28.0,-57.0,-53.0,-48.0,-54.0,-67.0,-57.0,-53.0,-52.0,-56.0,-53.0,-54.0,-56.0,-65.0,-72.0,-68.0,-77.0
-28.0,-42.0,-48.0,-50.0,-53.0,-58.0,-49.0,-57.0,-52.0,-56.0,-57.0,-54.0,-55.0,-66.0,-67.0,-70.0,-77.0
-28.0,-42.0,-50.0,-48.0,-54.0,-51.0,-50.0,-57.0,-52.0,-56.0,-53.0,-55.0,-55.0,-61.0,-68.0,-65.0,-76.0
-28.0,-57.0,-64.0,-44.0,-58.0,-66.0,-50.0,-53.0,-59.0,-56.0,-53.0,-56.0,-52.0,-61.0,-70.0,-76.0,-77.0
-28.0,-58.0,-49.0,-44.0,-58.0,-58.0,-60.0,-51.0,-53.0,-54.0,-53.0,-54.0,-52.0,-61.0,-64.0,-68.0,-84.0
