0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-30.0,-54.0,-63.0,-65.0,-67.0,-67.0,-55.0,-64.0,-69.0,-73.0,-59.0,-76.0,-57.0,-67.0,-68.0,-68.0,-72.0
-25.0,-50.0,-64.0,-64.0,-67.0,-68.0,-58.0,-56.0,-68.0,-73.0,-61.0,-68.0,-57.0,-59.0,-77.0,-70.0,-72.0
-25.0,-50.0,-58.0,-65.0,-69.0,-68.0,-58.0,-73.0,-60.0,-64.0,-61.0,-70.0,-60.0,-60.0,-70.0,-73.0,-70.0
-25.0,-56.0,-65.0,-64.0,-70.0,-64.0,-58.0,-57.0,-72.0,-64.0,-59.0,-75.0,-56.0,-62.0,-69.0,-69.0,-73.0
-27.0,-53.0,-65.0,-59.0,-62.0,-73.0,-55.0,-71.0,-72.0,-70.0,-61.0,-75.0,-71.0,-64.0,-61.0,-76.0,-90.0
-25.0,-56.0,-65.0,-57.0,-72.0,-67.0,-58.0,-73.0,-69.0,-68.0,-62.0,-75.0,-57.0,-65.0,-68.0,-67.0,-72.0
-31.0,-56.0,-57.0,-65.0,-73.0,-68.0,-58.0,-56.0,-60.0,-65.0,-59.0,-62.0,-60.0,-68.0,-67.0,-67.0,-79.0
-25.0,-56.0,-58.0,-65.0,-73.0,-65.0,-55.0,-58.0,-69.0,-70.0,-59.0,-69.0,-71.0,-67.0,-67.0,-67.0,-76.0
-25.0,-54.0,-58.0,-59.0,-61.0,-84.0,-55.0,-58.0,-66.0,-70.0,-62.0,-77.0,-60.0,-67.0,-67.0,-69.0,-75.0
-25.0,-51.0,-56.0,-65.0,-76.0,-63.0,-58.0,-63.0,-66.0,-65.0,-59.0,-77.0,-71.0,-67.0,-68.0,-68.0,-75.0
-31.0,-51.0,-59.0,-65.0,-76.0,-64.0,-58.0,-58.0,-68.0,-65.0,-61.0,-69.0,-57.0,-61.0,-74.0,-67.0,-72.0
-31.0,-54.0,-60.0,-65.0,-65.0,-78.0,-58.0,-58.0,-62.0,-67.0,-59.0,-69.0,-57.0,-59.0,-78.0,-68.0,-76.0
-27.0,-54.0,-58.0,-56.0,-65.0,-55.0,-58.0,-64.0,-61.0,-64.0,-61.0,-62.0,-57.0,-66.0,-63.0,-67.0,-73.0
-25.0,-56.0,-59.0,-57.0,-75.0,-55.0,-58.0,-68.0,-70.0,-67.0,-62.0,-69.0,-57.0,-60.0,-69.0,-67.0,-79.0
-27.0,-54.0,-63.0,-59.0,-66.0,-64.0,-55.0,-56.0,-70.0,-68.0,-59.0,-75.0,-60.0,-65.0,-61.0,-71.0,-78.0
-30.0,-57.0,-59.0,-65.0,-61.0,-64.0,-58.0,-62.0,-70.0,-70.0,-63.0,-62.0,-57.0,-66.0,-61.0,-67.0,-72.0
-27.0,-54.0,-58.0,-65.0,-71.0,-64.0,-58.0,-74.0,-68.0,-65.0,-59.0,-69.0,-57.0,-58.0,-66.0,-66.0,-81.0
-27.0,-54.0,-70.0,-57.0,-69.0,-72.0,-55.0,-75.0,-69.0,-70.0,-62.0,-62.0,-71.0,-66.0,-67.0,-75.0,-80.0
-26.0,-56.0,-68.0,-57.0,-69.0,-77.0,-58.0,-75.0,-61.0,-70.0,-62.0,-62.0,-60.0,-57.0,-67.0,-71.0,-75.0
-31.0,-54.0,-70.0,-59.0,-62.0,-63.0,-58.0,-56.0,-68.0,-66.0,-59.0,-69.0,-71.0,-57.0,-67.0,-71.0,-78.0
-27.0,-54.0,-70.0,-64.0,-66.0,-54.0,-58.0,-63.0,-69.0,-67.0,-63.0,-76.0,-57.0,-57.0,-62.0,-66.0,-85.0
-31.0,-50.0,-74.0,-62.0,-66.0,-54.0,-58.0,-58.0,-72.0,-72.0,-61.0,-69.0,-71.0,-63.0,-61.0,-69.0,-78.0
-31.0,-50.0,-60.0,-56.0,-69.0,-81.0,-58.0,-63.0,-61.0,-67.0,-62.0,-69.0,-60.0,-59.0,-61.0,-67.0,-76.0
-25.0,-51.0,-59.0,-67.0,-68.0,-81.0,-58.0,-58.0,-62.0,-67.0,-59.0,-77.0,-60.0,-69.0,-68.0,-71.0,-81.0
-25.0,-54.0,-56.0,-58.0,-72.0,-63.0,-55.0,-79.0,-62.0,-73.0,-59.0,-76.0,-57.0,-75.0,-74.0,-70.0,-80.0
-27.0,-54.0,-58.0,-57.0,-70.0,-54.0,-58.0,-63.0,-68.0,-68.0,-62.0,-62.0,-57.0,-79.0,-74.0,-67.0,-77.0
-27.0,-54.0,-60.0,-62.0,-62.0,-63.0,-55.0,-63.0,-69.0,-65.0,-62.0,-69.0,-71.0,-68.0,-67.0,-66.0,-84.0
-30.0,-54.0,-58.0,-57.0,-66.0,-75.0,-55.0,-75.0,-68.0,-71.0,-61.0,-62.0,-60.0,-70.0,-62.0,-68.0,-84.0
-30.0,-51.0,-58.0,-58.0,-61.0,-62.0,-58.0,-58.0,-61.0,-73.0,-59.0,-76.0,-60.0,-69.0,-67.0,-68.0,-76.0
-27.0,-56.0,-57.0,-61.0,-70.0,-62.0,-58.0,-58.0,-69.0,-66.0,-59.0,-69.0,-57.0,-66.0,-62.0,-69.0,-77.0
-25.0,-54.0,-58.0,-64.0,-61.0,-79.0,-58.0,-62.0,-69.0,-68.0,-61.0,-69.0,-60.0,-59.0,-67.0,-70.0,-76.0
-30.0,-54.0,-57.0,-59.0,-72.0,-55.0,-58.0,-57.0,-69.0,-68.0,-59.0,-69.0,-71.0,-71.0,-67.0,-73.0,-76.0
-30.0,-54.0,-59.0,-59.0,-71.0,-55.0,-55.0,-62.0,-71.0,-66.0,-59.0,-68.0,-60.0,-70.0,-67.0,-67.0,-72.0
-30.0,-56.0,-62.0,-64.0,-71.0,-62.0,-58.0,-74.0,-61.0,-68.0,-61.0,-78.0,-60.0,-65.0,-67.0,-70.0,-73.0
-26.0,-56.0,-64.0,-64.0,-65.0,-62.0,-56.0,-58.0,-71.0,-73.0,-59.0,-77.0,-60.0,-61.0,-62.0,-73.0,-73.0
-27.0,-54.0,-64.0,-60.0,-65.0,-62.0,-56.0,-76.0,-61.0,-66.0,-62.0,-68.0,-71.0,-65.0,-67.0,-69.0,-81.0
-27.0,-54.0,-65.0,-60.0,-61.0,-55.0,-56.0,-76.0,-72.0,-69.0,-61.0,-62.0,-57.0,-66.0,-62.0,-74.0,-73.0
-26.0,-54.0,-60.0,-59.0,-69.0,-55.0,-58.0,-58.0,-70.0,-64.0,-61.0,-62.0,-71.0,-58.0,-75.0,-66.0,-79.0
-25.0,-51.0,-59.0,-60.0,-68.0,-55.0,-56.0,-63.0,-61.0,-78.0,-59.0,-77.0,-57.0,-61.0,-67.0,-70.0,-78.0
-27.0,-50.0,-60.0,-61.0,-62.0,-62.0,-56.0,-63.0,-62.0,-66.0,-59.0,-62.0,-60.0,-59.0,-62.0,-67.0,-72.0
-25.0,-54.0,-57.0,-57.0,-62.0,-55.0,-55.0,-63.0,-62.0,-67.0,-59.0,-68.0,-60.0,-72.0,-61.0,-69.0,-74.0
-27.0,-54.0,-60.0,-62.0,-67.0,-62.0,-58.0,-58.0,-68.0,-73.0,-60.0,-62.0,-60.0,-68.0,-63.0,-69.0,-76.0
-25.0,-54.0,-59.0,-61.0,-68.0,-62.0,-58.0,-58.0,-69.0,-67.0,-64.0,-69.0,-60.0,-70.0,-61.0,-67.0,-78.0
-30.0,-54.0,-62.0,-58.0,-70.0,-55.0,-58.0,-64.0,-69.0,-67.0,-64.0,-69.0,-71.0,-61.0,-67.0,-67.0,-75.0
-25.0,-57.0,-61.0,-59.0,-68.0,-62.0,-57.0,-58.0,-69.0,-66.0,-59.0,-69.0,-60.0,-62.0,-68.0,-68.0,-75.0
-25.0,-57.0,-61.0,-63.0,-67.0,-55.0,-58.0,-74.0,-71.0,-69.0,-62.0,-76.0,-70.0,-64.0,-71.0,-65.0,-76.0
-25.0,-56.0,-58.0,-60.0,-71.0,-62.0,-56.0,-58.0,-69.0,-69.0,-59.0,-68.0,-60.0,-59.0,-62.0,-69.0,-77.0
-25.0,-50.0,-58.0,-63.0,-63.0,-62.0,-55.0,-74.0,-69.0,-69.0,-62.0,-62.0,-57.0,-60.0,-69.0,-68.0,-77.0
-25.0,-54.0,-56.0,-63.0,-41.0,-62.0,-58.0,-63.0,-62.0,-68.0,-59.0,-69.0,-57.0,-68.0,-69.0,-72.0,-72.0
-25.0,-50.0,-57.0,-62.0,-64.0,-55.0,-58.0,-63.0,-62.0,-74.0,-62.0,-62.0,-60.0,-69.0,-61.0,-74.0,-76.0
-25.0,-50.0,-58.0,-61.0,-66.0,-62.0,-58.0,-63.0,-72.0,-76.0,-62.0,-62.0,-57.0,-67.0,-65.0,-76.0,-72.0
-25.0,-56.0,-62.0,-61.0,-64.0,-55.0,-57.0,-77.0,-62.0,-66.0,-62.0,-77.0,-71.0,-61.0,-69.0,-69.0,-75.0
-25.0,-56.0,-61.0,-61.0,-66.0,-62.0,-57.0,-58.0,-71.0,-72.0,-59.0,-62.0,-57.0,-65.0,-68.0,-71.0,-86.0
-25.0,-54.0,-58.0,-61.0,-66.0,-78.0,-58.0,-57.0,-62.0,-65.0,-62.0,-68.0,-57.0,-69.0,,-72.0,-77.0
-26.0,-54.0,-60.0,-62.0,-61.0,-80.0,-58.0,-62.0,-72.0,-72.0,-59.0,-77.0,-60.0,-65.0,,-67.0,-81.0
-27.0,-50.0,-58.0,-60.0,-64.0,-54.0,-57.0,-77.0,-72.0,-71.0,-62.0,-77.0,-70.0,-68.0,,-69.0,-76.0
-27.0,-56.0,-60.0,-56.0,-60.0,-55.0,-58.0,-76.0,-72.0,-76.0,-62.0,-68.0,-57.0,,,-74.0,-84.0
